id,dialogue,scam_type,language,label,label_description
1,"Hello, this Ravi from IT Support. You raised ticket about your laptop freezing? Yes, it keeps hanging during video calls. Got it. Can you tell me your device model and when the issue started? It's Dell Latitude 5520. Started happening this Monday. Okay. First, please check if Windows updates are pending. Sometimes that causes lag. Let me check... yes, there are 3 pending updates. Please run them and restart. If it persists, raise another ticket and we'll escalate. Alright, thanks Ravi.",it_support,English,0,neutral
2,"Hi, this is Meera from the Helpdesk. Am I speaking with Arjun from accounts? Yes, that's me. Hi Arjun. Your VPN access request has been approved. I'm calling to walk you through setup. Oh great, I've been waiting for this. Sure. Please open the company portal and download the VPN client from the IT section. Done. It's downloading. Perfect. Once installed, use your employee ID and existing password to log in. That worked! Thank you so much.",it_support,English,0,neutral
3,"Good afternoon, this is Nandini from IT. Are you the one having issues with the office printer? Yes, I am. It's an HP LaserJet and it's not responding to print commands. Okay. Have you restarted the printer? Yes, once. Alright. Please check if it shows up under Devices and Printers on your computer. It's showing as offline. Right-click it and select 'See what's printing', then click 'Printer' and uncheck 'Use Printer Offline'. Done! It's printing now. Thank you! Great. Let us know if the issue returns.",it_support,English,0,neutral
4,"Namaste sir, main HDFC Bank se Pooja bol rahi hoon. Aapke savings account ke baare mein call kar rahi hoon. Ji boliye. Sir, aapka minimum balance look, threshold alert trigger hua hai. Balance 25,000 se neeche hai. Haan, mujhe pata tha. Kal transfer karunga. Bilkul sir. Koi aur madad chahiye? basically, Nahi, shukriya.",genuine_bank,Hindi-English,0,neutral
5,"Hello sir, State Bank se Ramesh speaking. Aapki FD agle mahine mature ho rahi hai. Haan, mujhe email aaya tha. Sir, kya aap renew karna chahenge ya account mein transfer karein? Account mein transfer kar dijiye. Sure sir. Koi nominee change karna hai? Nahi, sab theek hai. Perfect. Processing ho jayegi. Have a nice day.",genuine_bank,Hindi-English,0,neutral
6,"Good morning sir, naan Canara Bank-la irundhu Pradeep pesuren. Unga account-la auto-debit setup pathi. Haan, enna problem? Sir, unga ECS mandate renewal pending-aa irukku. Update pannanum. Enna pannanum? Sir, nearest branch-ku poyee form submit pannunga. Online option also available. Okay nandri.",genuine_bank,Tamil-English,0,neutral
7,"Hello, this is Deepa from Kotak Mahindra Bank's loan department. Yes? Sir, I'm calling to inform you that your home loan EMI for this month has been successfully processed. Great, thank you for confirming. You're welcome. Your outstanding balance is now 14.2 lakh rupees. Okay. Is there a way to prepay? Yes sir, you can prepay via net banking with no prepayment penalty after 3 years. That's helpful. I'll look into it.",genuine_bank,English,0,neutral
8,"Hello, am I speaking with Mrs. Kavitha? Yes, this is Kavitha. Good morning madam. I'm Suresh calling from LIC regarding your policy renewal due next month. Yes, I received a letter about it. Correct madam. You can renew online at the LIC portal, at the nearest branch, or via cheque. I'll do it online. What documents do I need? Just your policy number and registered mobile number. No documents needed for basic renewal. Perfect, thank you.",insurance_call,English,0,neutral
9,"Namaste madam, main Star Health Insurance se Anita bol rahi hoon. Ji boliye. Madam, aapki health policy ki renewal date 15 tarikh hai. Reminder ke liye call kar rahi hoon. Haan, main online renew kar lungi. Bilkul madam. Koi cashless hospital add karna ho toh website par update kar sakte ho. Theek hai, shukriya.",insurance_call,Hindi-English,0,neutral
10,"Hello sir, this is Jio customer care calling. I'm Rohan. Yes? Sir, we noticed your data pack expires in 2 days. Calling to inform you. Yes, I'll recharge soon. You can also set up auto-recharge via the MyJio app to avoid interruptions. Oh, I didn't know that. I'll check. Sure sir. Have a good day.",telecom_service,English,0,neutral
11,"Sir, naan Airtel customer care-la irundhu call pannuren. Unga broadband plan pathi. Enna problem? Problem illa sir. Unga current plan 100 Mbps. New 200 Mbps plan same price-la available. Upgrade free-aa? Aama sir, no extra charge. Just confirm pannunga. Okay, confirm pannuren. Nandri.",telecom_service,Tamil-English,0,neutral
12,"Hello, this is BSNL customer support. Am I talking to Mr. Venkat? Yes. Sir, there is basically, a scheduled look, maintenance in your area tomorrow between 2 and 4 PM. Your internet may be disrupted. Okay, noted. How long will the downtime last? Maximum 2 hours sir. Apologies for the inconvenience. Alright, thanks for the heads up.",telecom_service,English,0,neutral
13,This is a reminder from Axis Bank. Please complete your KYC update to avoid account restrictions.,hard_negative,English,0,neutral
14,Your PAN-Aadhaar linking deadline is approaching. Please visit incometax.gov.in to complete the process.,hard_negative,English,0,neutral
15,"Dear customer, your Jio SIM KYC update is pending. Visit the nearest store or update via the MyJio app.",hard_negative,English,0,neutral
16,"Namaste sir, HDFC Bank ki taraf se reminder hai. Aapkka KYC update karein. Bank branch ya net bankingg se update ho sakta hai.",hard_negative,Hindi-English,0,neutral
17,"Vanakkam sir, SBI Bank-la irudhu reminder. Ugna KYC update panna nerest branch-ku visit pannunga.",hard_negative,Tamil-English,0,neutral
18,Your mutual fund account with Groww requires nominee update as per SBEI regulations. Pleease log in to complete.,hard_negative,English,0,neutral
19,"Hello sir, naan TCS IT helpdesk-la irundhu Karthik pesuren. Haan boliye. Sir, unga laptop remote access request approve aayiruchu. Anydesk install aayirucha? Haan install aayiruchu. Sir, ID share pannunga, naan connect pannuren and issue resolve pannuren. Ok. ID 123456789. Connected sir. Checking the issue now. Browser cache clear panrom.",tech_support,Tamil-English,2,scam
20,"Hello, is this Priya? Yes speaking. Hi, this is Ajay from Amazon delivery. Your package is out for delivery today. Will you be home? Yes I'll be home after 4 PM. Noted, we'll attempt delivery between 4 and 7 PM. Thank you.",delivery_service,English,0,neutral
21,"Hello sir, Swiggy delivery partner speaking. Aapka order ready hai aur main 10 minute mein pahunch raha hoon. Okay, main building ke bahar hoon. Perfect sir. Blue hoodie mein hoon. Theek hai.",delivery_service,Hindi-English,0,neutral
22,"Hello madam, naan Flipkart delivery-la irundhu pesuren. Unga order today deliver aagum. Okay, enna time? Madam, 3 to 6 PM between. Home-la iruppinga? Aama, iruppein. Nandri.",delivery_service,Tamil-English,0,neutral
23,"Hello, am I speaking with Mr. Sudhir? Yes. Good morning sir. This is Apollo Hospitals calling to confirm your appointment with Dr. Meera on Thursday at 3 PM. Yes, I'll be there. Please carry your previous reports and arrive 15 minutes early for registration. Sure, thank you.",medical_service,English,0,neutral
24,"Namaste madam, main Fortis Hospital se bol rahi hoon. Aapki blood test report ready hai. Achha, kab le sakti hoon? Aap anytime 9 AM se 6 PM ke beech aa sakti hain lab section mein. Theek hai, aaj aa jaati hoon. Shukriya.",medical_service,Hindi-English,0,neutral
25,"Hello sir, this is Vikram from ICICI Bank. You've been pre-approved for a personal loan of 10 lakhs. I didn't apply for any loan. Sir, this is based on your excellent credit score. Just a few minutes to verify details. What details? Just your PAN number and date of birth for verification. I'm not comfortable sharing that over phone. Can you share the offer via official email? Of course sir. Let me note your email.",credit_card_offer,English,1,slightly_suspicious
26,"Namaste sir, main IndusInd Bank se Priya bol rahi hoon. Aapko lifetime free credit card offer hai. Kaun sa bank? IndusInd Bank sir. 5 lakh limit, no joining fee. Maine apply nahi kiya tha. Sir, aap eligible hain based on credit history. Bas Aadhaar number verify karni hai. Aadhaar main phone par share nahi karta. Official website par process karo. Sure sir, link bhej deti hoon.",credit_card_offer,Hindi-English,1,slightly_suspicious
27,"Hello madam, SBI credit cardd division. Unga credit score very good-aa irukku. Pre-approved card offer. Enna offer? 3 lakh limit, no annual fee. Bas Aadhaar last 4 digits confirm pannunga. Last 4 digits-aa? Verification-ku madam. Naan directly SBI website-la check pannuren. Official channel use pannuvein.",credit_card_offer,Tamil-English,1,slightly_suspicious
28,"Sir, this is from Bajaj Finance. You have a pre-approved EMI card with 1 lakh limit. What do I need to do? Just provide your date of birth and last 4 digits of your Aadhaar. That sounds a lot to share on a call. Let me visit the store instead. Sir, we can do it over the phone to save time. I'd prefer to visit in person. Thank you.",credit_card_offer,English,1,slightly_suspicious
